VCD info: dumpfile rca.vcd opened for output.
  A   B  Cin | Cout  Sum  (= expected)
 0 +  0 + 0 -> {0,0000} =  0
 0 +  0 + 1 -> {0,0001} =  1
 0 +  1 + 0 -> {0,0001} =  1
 0 +  1 + 1 -> {0,0010} =  2
 0 +  2 + 0 -> {0,0010} =  2
 0 +  2 + 1 -> {0,0011} =  3
 0 +  3 + 0 -> {0,0011} =  3
 0 +  3 + 1 -> {0,0100} =  4
 0 +  4 + 0 -> {0,0100} =  4
 0 +  4 + 1 -> {0,0101} =  5
 0 +  5 + 0 -> {0,0101} =  5
 0 +  5 + 1 -> {0,0110} =  6
 0 +  6 + 0 -> {0,0110} =  6
 0 +  6 + 1 -> {0,0111} =  7
 0 +  7 + 0 -> {0,0111} =  7
 0 +  7 + 1 -> {0,1000} =  8
 0 +  8 + 0 -> {0,1000} =  8
 0 +  8 + 1 -> {0,1001} =  9
 0 +  9 + 0 -> {0,1001} =  9
 0 +  9 + 1 -> {0,1010} = 10
 0 + 10 + 0 -> {0,1010} = 10
 0 + 10 + 1 -> {0,1011} = 11
 0 + 11 + 0 -> {0,1011} = 11
 0 + 11 + 1 -> {0,1100} = 12
 0 + 12 + 0 -> {0,1100} = 12
 0 + 12 + 1 -> {0,1101} = 13
 0 + 13 + 0 -> {0,1101} = 13
 0 + 13 + 1 -> {0,1110} = 14
 0 + 14 + 0 -> {0,1110} = 14
 0 + 14 + 1 -> {0,1111} = 15
 0 + 15 + 0 -> {0,1111} = 15
 0 + 15 + 1 -> {1,0000} = 16
 1 +  0 + 0 -> {0,0001} =  1
 1 +  0 + 1 -> {0,0010} =  2
 1 +  1 + 0 -> {0,0010} =  2
 1 +  1 + 1 -> {0,0011} =  3
 1 +  2 + 0 -> {0,0011} =  3
 1 +  2 + 1 -> {0,0100} =  4
 1 +  3 + 0 -> {0,0100} =  4
 1 +  3 + 1 -> {0,0101} =  5
 1 +  4 + 0 -> {0,0101} =  5
 1 +  4 + 1 -> {0,0110} =  6
 1 +  5 + 0 -> {0,0110} =  6
 1 +  5 + 1 -> {0,0111} =  7
 1 +  6 + 0 -> {0,0111} =  7
 1 +  6 + 1 -> {0,1000} =  8
 1 +  7 + 0 -> {0,1000} =  8
 1 +  7 + 1 -> {0,1001} =  9
 1 +  8 + 0 -> {0,1001} =  9
 1 +  8 + 1 -> {0,1010} = 10
 1 +  9 + 0 -> {0,1010} = 10
 1 +  9 + 1 -> {0,1011} = 11
 1 + 10 + 0 -> {0,1011} = 11
 1 + 10 + 1 -> {0,1100} = 12
 1 + 11 + 0 -> {0,1100} = 12
 1 + 11 + 1 -> {0,1101} = 13
 1 + 12 + 0 -> {0,1101} = 13
 1 + 12 + 1 -> {0,1110} = 14
 1 + 13 + 0 -> {0,1110} = 14
 1 + 13 + 1 -> {0,1111} = 15
 1 + 14 + 0 -> {0,1111} = 15
 1 + 14 + 1 -> {1,0000} = 16
 1 + 15 + 0 -> {1,0000} = 16
 1 + 15 + 1 -> {1,0001} = 17
 2 +  0 + 0 -> {0,0010} =  2
 2 +  0 + 1 -> {0,0011} =  3
 2 +  1 + 0 -> {0,0011} =  3
 2 +  1 + 1 -> {0,0100} =  4
 2 +  2 + 0 -> {0,0100} =  4
 2 +  2 + 1 -> {0,0101} =  5
 2 +  3 + 0 -> {0,0101} =  5
 2 +  3 + 1 -> {0,0110} =  6
 2 +  4 + 0 -> {0,0110} =  6
 2 +  4 + 1 -> {0,0111} =  7
 2 +  5 + 0 -> {0,0111} =  7
 2 +  5 + 1 -> {0,1000} =  8
 2 +  6 + 0 -> {0,1000} =  8
 2 +  6 + 1 -> {0,1001} =  9
 2 +  7 + 0 -> {0,1001} =  9
 2 +  7 + 1 -> {0,1010} = 10
 2 +  8 + 0 -> {0,1010} = 10
 2 +  8 + 1 -> {0,1011} = 11
 2 +  9 + 0 -> {0,1011} = 11
 2 +  9 + 1 -> {0,1100} = 12
 2 + 10 + 0 -> {0,1100} = 12
 2 + 10 + 1 -> {0,1101} = 13
 2 + 11 + 0 -> {0,1101} = 13
 2 + 11 + 1 -> {0,1110} = 14
 2 + 12 + 0 -> {0,1110} = 14
 2 + 12 + 1 -> {0,1111} = 15
 2 + 13 + 0 -> {0,1111} = 15
 2 + 13 + 1 -> {1,0000} = 16
 2 + 14 + 0 -> {1,0000} = 16
 2 + 14 + 1 -> {1,0001} = 17
 2 + 15 + 0 -> {1,0001} = 17
 2 + 15 + 1 -> {1,0010} = 18
 3 +  0 + 0 -> {0,0011} =  3
 3 +  0 + 1 -> {0,0100} =  4
 3 +  1 + 0 -> {0,0100} =  4
 3 +  1 + 1 -> {0,0101} =  5
 3 +  2 + 0 -> {0,0101} =  5
 3 +  2 + 1 -> {0,0110} =  6
 3 +  3 + 0 -> {0,0110} =  6
 3 +  3 + 1 -> {0,0111} =  7
 3 +  4 + 0 -> {0,0111} =  7
 3 +  4 + 1 -> {0,1000} =  8
 3 +  5 + 0 -> {0,1000} =  8
 3 +  5 + 1 -> {0,1001} =  9
 3 +  6 + 0 -> {0,1001} =  9
 3 +  6 + 1 -> {0,1010} = 10
 3 +  7 + 0 -> {0,1010} = 10
 3 +  7 + 1 -> {0,1011} = 11
 3 +  8 + 0 -> {0,1011} = 11
 3 +  8 + 1 -> {0,1100} = 12
 3 +  9 + 0 -> {0,1100} = 12
 3 +  9 + 1 -> {0,1101} = 13
 3 + 10 + 0 -> {0,1101} = 13
 3 + 10 + 1 -> {0,1110} = 14
 3 + 11 + 0 -> {0,1110} = 14
 3 + 11 + 1 -> {0,1111} = 15
 3 + 12 + 0 -> {0,1111} = 15
 3 + 12 + 1 -> {1,0000} = 16
 3 + 13 + 0 -> {1,0000} = 16
 3 + 13 + 1 -> {1,0001} = 17
 3 + 14 + 0 -> {1,0001} = 17
 3 + 14 + 1 -> {1,0010} = 18
 3 + 15 + 0 -> {1,0010} = 18
 3 + 15 + 1 -> {1,0011} = 19
 4 +  0 + 0 -> {0,0100} =  4
 4 +  0 + 1 -> {0,0101} =  5
 4 +  1 + 0 -> {0,0101} =  5
 4 +  1 + 1 -> {0,0110} =  6
 4 +  2 + 0 -> {0,0110} =  6
 4 +  2 + 1 -> {0,0111} =  7
 4 +  3 + 0 -> {0,0111} =  7
 4 +  3 + 1 -> {0,1000} =  8
 4 +  4 + 0 -> {0,1000} =  8
 4 +  4 + 1 -> {0,1001} =  9
 4 +  5 + 0 -> {0,1001} =  9
 4 +  5 + 1 -> {0,1010} = 10
 4 +  6 + 0 -> {0,1010} = 10
 4 +  6 + 1 -> {0,1011} = 11
 4 +  7 + 0 -> {0,1011} = 11
 4 +  7 + 1 -> {0,1100} = 12
 4 +  8 + 0 -> {0,1100} = 12
 4 +  8 + 1 -> {0,1101} = 13
 4 +  9 + 0 -> {0,1101} = 13
 4 +  9 + 1 -> {0,1110} = 14
 4 + 10 + 0 -> {0,1110} = 14
 4 + 10 + 1 -> {0,1111} = 15
 4 + 11 + 0 -> {0,1111} = 15
 4 + 11 + 1 -> {1,0000} = 16
 4 + 12 + 0 -> {1,0000} = 16
 4 + 12 + 1 -> {1,0001} = 17
 4 + 13 + 0 -> {1,0001} = 17
 4 + 13 + 1 -> {1,0010} = 18
 4 + 14 + 0 -> {1,0010} = 18
 4 + 14 + 1 -> {1,0011} = 19
 4 + 15 + 0 -> {1,0011} = 19
 4 + 15 + 1 -> {1,0100} = 20
 5 +  0 + 0 -> {0,0101} =  5
 5 +  0 + 1 -> {0,0110} =  6
 5 +  1 + 0 -> {0,0110} =  6
 5 +  1 + 1 -> {0,0111} =  7
 5 +  2 + 0 -> {0,0111} =  7
 5 +  2 + 1 -> {0,1000} =  8
 5 +  3 + 0 -> {0,1000} =  8
 5 +  3 + 1 -> {0,1001} =  9
 5 +  4 + 0 -> {0,1001} =  9
 5 +  4 + 1 -> {0,1010} = 10
 5 +  5 + 0 -> {0,1010} = 10
 5 +  5 + 1 -> {0,1011} = 11
 5 +  6 + 0 -> {0,1011} = 11
 5 +  6 + 1 -> {0,1100} = 12
 5 +  7 + 0 -> {0,1100} = 12
 5 +  7 + 1 -> {0,1101} = 13
 5 +  8 + 0 -> {0,1101} = 13
 5 +  8 + 1 -> {0,1110} = 14
 5 +  9 + 0 -> {0,1110} = 14
 5 +  9 + 1 -> {0,1111} = 15
 5 + 10 + 0 -> {0,1111} = 15
 5 + 10 + 1 -> {1,0000} = 16
 5 + 11 + 0 -> {1,0000} = 16
 5 + 11 + 1 -> {1,0001} = 17
 5 + 12 + 0 -> {1,0001} = 17
 5 + 12 + 1 -> {1,0010} = 18
 5 + 13 + 0 -> {1,0010} = 18
 5 + 13 + 1 -> {1,0011} = 19
 5 + 14 + 0 -> {1,0011} = 19
 5 + 14 + 1 -> {1,0100} = 20
 5 + 15 + 0 -> {1,0100} = 20
 5 + 15 + 1 -> {1,0101} = 21
 6 +  0 + 0 -> {0,0110} =  6
 6 +  0 + 1 -> {0,0111} =  7
 6 +  1 + 0 -> {0,0111} =  7
 6 +  1 + 1 -> {0,1000} =  8
 6 +  2 + 0 -> {0,1000} =  8
 6 +  2 + 1 -> {0,1001} =  9
